docID;Date;Uncertainty_unspecified_noun;Uncertainty_unspecified_noun_neg;Uncertainty_unspecified_verb;Uncertainty_unspecified_verb_neg;Uncertainty_unspecified_othertype;Uncertainty_unspecified_othertype_neg;Uncertainty_fear_noun;Uncertainty_fear_noun_neg;Uncertainty_fear_verb;Uncertainty_fear_verb_neg;Uncertainty_fear_othertype;Uncertainty_fear_othertype_neg;Uncertainty_hope_noun;Uncertainty_hope_noun_neg;Uncertainty_hope_verb;Uncertainty_hope_verb_neg;Uncertainty_hope_othertype;Uncertainty_hope_othertype_neg;Uncertainty_anxiety_noun;Uncertainty_anxiety_noun_neg;Uncertainty_anxiety_verb;Uncertainty_anxiety_verb_neg;Uncertainty_anxiety_othertype;Uncertainty_anxiety_othertype_neg;Uncertainty_conditionality1;Uncertainty_conditionality1_pos;Uncertainty_conditionality1_neg;Uncertainty_conditionality2;Uncertainty_conditionality2_pos;Uncertainty_conditionality2_neg;Surprise_unspecified_noun;Surprise_unspecified_noun_neg;Surprise_unspecified_verb;Surprise_unspecified_verb_neg;Surprise_unspecified_othertype;Surprise_unspecified_othertype_neg;Surprise_disappointment_noun;Surprise_disappointment_noun_neg;Surprise_disappointment_verb;Surprise_disappointment_verb_neg;Surprise_disappointment_othertype;Surprise_disappointment_othertype_neg;Surprise_relief_noun;Surprise_relief_noun_neg;Surprise_relief_verb;Surprise_relief_verb_neg;Surprise_relief_othertype;Surprise_relief_othertype_neg;Surprise_comparative;Valence_Pos;Valence_Neg
110351;08.07.2015;8;0;2;0;15;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;17;43
110915;08.07.2015;8;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;18
110918;08.07.2015;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;5
110919;08.07.2015;6;0;3;0;5;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;14
111179;08.07.2015;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;9
111663;09.07.2015;12;0;4;0;21;0;0;0;0;0;1;0;4;0;0;0;1;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;19;15;33
111664;09.07.2015;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;7;8
111974;09.07.2015;10;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;18
112160;09.07.2015;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;11
112248;09.07.2015;5;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;20
113004;10.07.2015;6;0;8;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;13;48
113286;10.07.2015;2;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;18
113321;10.07.2015;2;0;4;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;26
113582;10.07.2015;2;0;4;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;10;25
114080;11.07.2015;8;0;8;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;14;34
11491;24.03.2015;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;9
11492;24.03.2015;3;0;2;0;8;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;17;17;29
