docID,Date,Uncertainty,Uncertainty_neg,Uncertainty_conditionality,Surprise,Surprise_neg,Surprise_comparative,Valence_Pos,Valence_Neg
100622,2015-06-29,0.01288659793814433,0.0,6.443298969072165E-4,0.0,0.0,0,0.014819587628865979,0.008376288659793814
101204,2015-06-29,0.003893575600259572,6.489292667099286E-4,6.489292667099286E-4,0.0,0.0,0,0.012329656067488644,0.006489292667099286
101977,2015-06-30,0.012345679012345678,0.0,0.0016460905349794238,0.0,0.0,0,0.02139917695473251,0.00905349794238683
102309,2015-06-30,0.00916030534351145,0.0,0.003816793893129771,0.0,0.0,0,0.012977099236641221,0.008396946564885497
102328,2015-06-30,0.011071967790639155,0.0,0.001509813789632612,0.0010065425264217413,0.0,0,0.020130850528434826,0.0206341217916457
103306,2015-07-01,0.00760043431053203,0.0,0.002171552660152009,0.0,0.0,0,0.009771986970684038,0.003257328990228013
104199,2015-07-01,0.01107419712070875,0.0,0.0027685492801771874,0.0,0.0,0,0.018826135105204873,0.008305647840531562
106671,2015-07-04,0.0075528700906344415,7.552870090634441E-4,7.552870090634441E-4,0.0,0.0,0,0.005287009063444109,0.0075528700906344415
107190,2015-07-05,0.030013642564802184,0.001364256480218281,0.0068212824010914054,0.001364256480218281,0.0,0,0.009549795361527967,0.023192360163710776
107474,2015-07-06,0.016452074391988557,0.0,0.001430615164520744,7.15307582260372E-4,0.0,0,0.01430615164520744,0.0178826895565093
