Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
9/1/2016,57.009998,57.82,57.009998,57.59,26075400,57.59,6.233,1
8/31/2016,57.650002,57.799999,57.299999,57.459999,20860300,57.459999,6.219,1
8/30/2016,57.98,58.189999,57.610001,57.889999,16930200,57.889999,6.266,1
8/29/2016,58.18,58.599998,58.099998,58.099998,16417200,58.099998,6.288,1
8/26/2016,58.279999,58.700001,57.689999,58.029999,20971200,58.029999,6.281,1
8/25/2016,57.880001,58.290001,57.779999,58.169998,18552600,58.169998,6.296,1
8/24/2016,57.799999,58.040001,57.720001,57.950001,18151500,57.950001,6.272,1
8/23/2016,57.900002,58.18,57.849998,57.889999,18732400,57.889999,6.266,1
8/22/2016,57.599998,57.75,57.259998,57.669998,15221900,57.669998,6.242,1
8/19/2016,57.43,57.73,57.200001,57.619999,17271000,57.619999,6.236,1
8/18/2016,57.419998,57.700001,57.27,57.599998,14214300,57.599998,6.234,1
8/17/2016,57.540001,57.68,57.23,57.560001,18856400,57.560001,6.23,1
8/16/2016,57.610001,57.619999,57.27,57.439999,20523500,57.439999,6.217,1
8/15/2016,58.009998,58.5,57.959999,58.119999,19283900,57.76,6.291,1
8/12/2016,58.029999,58.189999,57.619999,57.939999,21655200,57.581115,6.271,1
8/11/2016,58.029999,58.450001,58.029999,58.299999,18162300,57.938886,6.31,1
8/10/2016,58.16,58.32,57.82,58.02,15756900,57.660621,6.28,1
8/9/2016,58.169998,58.5,58.02,58.200001,16920700,57.839507,6.299,1
8/8/2016,58.060001,58.09,57.779999,58.060001,19473500,57.700375,6.284,1
8/5/2016,57.650002,58.209999,57.450001,57.959999,29335200,57.600992,6.273,1
8/4/2016,56.799999,57.52,56.669998,57.389999,26587700,57.034523,6.212,1
8/3/2016,56.68,57.110001,56.490002,56.970001,22075600,56.617126,6.166,1
8/2/2016,56.849998,56.900002,56.310001,56.580002,35122000,56.229542,6.124,1
8/1/2016,56.599998,56.75,56.139999,56.580002,26003400,56.229542,6.124,1
7/29/2016,56.259998,56.759998,56.049999,56.68,30558700,56.328921,6.135,1
7/28/2016,56,56.369999,55.720001,56.209999,37550400,55.861831,6.084,1
7/27/2016,56.610001,56.799999,56.110001,56.189999,32327500,55.841955,6.082,1
7/26/2016,56.52,57.290001,56.509998,56.759998,28079000,56.408424,6.143,1
7/25/2016,56.470001,56.740002,56.259998,56.73,25610600,56.378611,6.14,1
