Date,Open,High,Low,Close,Volume,Adj Close,PB
9/1/2016,770.900024,772.039978,766.75,770.619995,1785800,770.619995,22.09
8/31/2016,766.599976,769.640015,764,769.159973,1627500,769.159973,22.05
8/30/2016,771.049988,771.840027,765.559998,767.580017,1680600,767.580017,22
8/29/2016,768.719971,774.97998,768.599976,771.289978,2185700,771.289978,22.11
8/26/2016,760.049988,770,759.799988,769,2757800,769,22.04
8/25/2016,756,760.559998,754.73999,759.219971,1623000,759.219971,21.76
8/24/2016,763,763.409973,755.359985,757.25,1744100,757.25,21.71
8/23/2016,763.309998,764.700012,761,762.450012,1524100,762.450012,21.86
8/22/2016,757.5,759.849976,752.099976,759.47998,1679300,759.47998,21.77
8/19/2016,761.900024,762.48999,756.890015,757.309998,2343200,757.309998,21.71
8/18/2016,764,765.169983,760.599976,764.460022,1458800,764.460022,21.91
8/17/2016,764.409973,765.219971,759.200012,764.630005,1891100,764.630005,21.92
8/16/2016,768.619995,768.72998,763.820007,764.039978,1604600,764.039978,21.9
8/15/2016,771.900024,772.039978,767.710022,768.48999,2118500,768.48999,22.03
8/12/2016,768.460022,773.150024,768.419983,772.559998,1563300,772.559998,22.15
8/11/2016,769.940002,773.75,769.119995,771.23999,2019700,771.23999,22.11
8/10/2016,769.799988,772.099976,766.190002,768.559998,1604300,768.559998,22.03
8/9/2016,767.390015,772.599976,766.900024,768.309998,1876100,768.309998,22.02
8/8/2016,766.809998,767,761.02002,766.559998,1986300,766.559998,21.97
8/5/2016,764.809998,768.469971,763.090027,765.97998,2704400,765.97998,21.96
8/4/2016,753.700012,765,750.349976,760.77002,3178200,760.77002,21.81
8/3/2016,757.059998,758.890015,752.25,754.640015,3581500,754.640015,21.63
8/2/2016,763.809998,765.01001,757.02002,760.580017,3603300,760.580017,21.8
8/1/2016,759.869995,770.5,757.059998,767.73999,3578200,767.73999,22.01
7/29/2016,765,766,755,758.809998,6777100,758.809998,21.75
7/28/2016,745.97998,753.359985,739.700012,752.609985,7617600,752.609985,21.57
7/27/2016,737.969971,740.940002,733.859985,736.669983,2913100,736.669983,21.12
7/26/2016,742.710022,743.130005,732.75,735.590027,2529700,735.590027,21.09
7/25/2016,746.549988,748.5,735.349976,739.609985,2679300,739.609985,21.2
7/22/2016,747.789978,751.280029,743.530029,744.859985,2277700,744.859985,21.35
7/21/2016,747.5,749.359985,742.789978,744.429993,2317100,744.429993,21.34
7/20/2016,744,746.25,740.700012,745.719971,2214000,745.719971,21.38
7/19/2016,732.5,743.330017,732.309998,739.950012,2216800,739.950012,21.21
7/18/2016,735.48999,741.599976,728.719971,736.070007,2954900,736.070007,21.1
7/15/2016,746.549988,746.549988,734.049988,735.440002,3121400,735.440002,21.08
7/14/2016,748.859985,749.039978,739.02002,741.200012,2390500,741.200012,21.24
7/13/2016,746.76001,756.869995,741.25,742.630005,4142300,742.630005,21.28
7/12/2016,756.859985,757.340027,740.330017,748.210022,5623700,748.210022,21.44
7/11/2016,750,755.900024,747,753.780029,3195300,753.780029,21.6
7/8/2016,740.140015,746.099976,738,745.809998,3429200,745.809998,21.38
7/7/2016,739.330017,739.549988,731.630005,736.570007,2945800,736.570007,21.11
7/6/2016,725.710022,737.77002,722.580017,737.609985,3938200,737.609985,21.14
7/5/2016,722.799988,729.559998,719.609985,728.099976,2431400,728.099976,20.87
7/1/2016,717.320007,728,716.539978,725.679993,2920400,725.679993,20.8
6/30/2016,717.200012,719.369995,712.539978,715.619995,2855100,715.619995,20.51
6/29/2016,715.75,719.5,713.539978,715.599976,3070100,715.599976,22.88
6/28/2016,700,708,698.169983,707.950012,4037000,707.950012,22.64
6/27/2016,692.01001,696.820007,682.119995,691.359985,5568000,691.359985,22.11
6/24/2016,693,712.530029,692.200012,698.960022,7632500,698.960022,22.35
6/23/2016,715.5,722.119995,712.5,722.080017,2825000,722.080017,23.09
6/22/2016,716.580017,717,707.570007,710.599976,2260500,710.599976,22.72
6/21/2016,715.719971,718.400024,712.719971,715.820007,2137500,715.820007,22.89
6/20/2016,713.5,721.309998,710.809998,714.01001,3677200,714.01001,22.83
6/17/2016,718.190002,718.200012,699.179993,706.390015,5897800,706.390015,22.59
6/16/2016,712.049988,718,705.299988,717.51001,3098000,717.51001,22.94
6/15/2016,722,722.559998,713.349976,714.26001,2709400,714.26001,22.84
6/14/2016,712.330017,720.809998,712.27002,719.299988,2506900,719.299988,23
6/13/2016,714.01001,721.98999,711.159973,715.23999,3352200,715.23999,22.87
6/10/2016,722.349976,724.97998,714.210022,717.909973,3425700,717.909973,22.96
6/9/2016,723.099976,728.909973,722.299988,727.650024,2170300,727.650024,23.27
6/8/2016,726.400024,729.419983,721.599976,726.640015,2223400,726.640015,23.23
6/7/2016,729.890015,730,720.549988,723.73999,2732500,723.73999,23.14
6/6/2016,726.5,731.5,724.419983,726.72998,2704800,726.72998,23.24
6/3/2016,726.73999,727,718.429993,725.539978,3367300,725.539978,23.2
6/2/2016,720.969971,728.280029,715.5,728.23999,3026600,728.23999,23.29
6/1/2016,720.900024,726.429993,718.219971,719.440002,3263100,719.440002,23
5/31/2016,712.330017,724.22998,711.320007,722.789978,3618300,722.789978,23.11
5/27/2016,715,716.599976,711.099976,712.23999,2249200,712.23999,22.77
5/26/2016,708.330017,715,707.289978,714.909973,2446700,714.909973,22.86
5/25/2016,708,710.859985,705.52002,708.349976,3267700,708.349976,22.65
5/24/2016,698.01001,707.5,698,704.200012,3033800,704.200012,22.52
